Transaction Date,Post Date,Description,Category,Type,Amount,Memo
3/22/21,3/23/21,KAISER/HPS,Bills & Utilities,Sale,135.87,
6/19/21,6/21/21,SMCCD CORSAIR CONNECT,Education,Sale,140,
10/19/21,10/20/21,eBay O*14-07752-86883,Shopping,Sale,142.35,
9/16/21,9/17/21,IN *LULU FARMS  LLC,Home,Sale,147.08,
6/8/21,6/9/21,PAYPAL *NORTHBOUND,Groceries,Sale,148,
12/3/21,12/3/21,APPLE.COM/BILL,Shopping,Sale,149.99,
6/11/21,6/14/21,NAACP LEGAL DEFENSE AND E,Gifts & Donations,Sale,150,
7/13/21,7/14/21,ZORO TOOLS INC,Home,Sale,154.39,
9/22/21,9/24/21,VOLKSWAGEN SANTA MONIC,Automotive,Sale,156.49,
5/28/21,5/30/21,TRADER JOE'S #037  QPS,Groceries,Sale,162.27,
10/12/21,10/13/21,ADAFRUIT INDUSTRIES,Shopping,Sale,163.67,
8/5/21,8/6/21,AIRBNB  HMY5MCQ2DX,Travel,Sale,165.47,
8/17/21,8/19/21,MCMASTER-CARR,Home,Sale,173.54,
5/12/21,5/13/21,WARBY PARKER,Health & Wellness,Sale,175,
8/7/21,8/8/21,DECKERS*HOKA ONE ONE,Shopping,Sale,186.15,
4/28/21,4/29/21,LEICA CAMERA INC,Shopping,Sale,189.06,
8/7/21,8/8/21,AIRBNB  HMBRCTPSYE,Travel,Sale,226.18,
9/15/21,9/17/21,FK NURSERY INC,Home,Sale,229.95,
12/4/21,12/5/21,VCI*VITACOST.COM,Groceries,Sale,240.94,
8/6/21,8/8/21,EWING IRRIGATION PRD 19,Home,Sale,258.92,
3/26/21,3/28/21,THE HOME DEPOT 6689,Home,Sale,262.88,
7/5/21,7/6/21,PAYPAL *BODNARIUC,Professional Services,Sale,291,
4/16/21,4/16/21,HOOVER FENCE CO.,Home,Sale,326.43,
11/13/21,11/14/21,VESTA  *AT&amp;T PREPAID,Bills & Utilities,Sale,329.14,
12/21/21,12/22/21,S&amp;S SEEDS INC,Shopping,Sale,336.03,
9/24/21,9/26/21,APPLE STORE  #R146,Shopping,Sale,354.5,
6/9/21,6/10/21,HOUSE OF HARDWOOD LLC,Home,Sale,364.64,
7/15/21,7/15/21,eBay O*24-07351-44317,Shopping,Sale,410.63,
8/20/21,8/22/21,IDRINKCOFFEE.COM,Home,Sale,441.71,
3/10/21,3/11/21,CITY OF L A BOE INTERNET,Bills & Utilities,Sale,509.66,
8/31/21,9/1/21,SOUTHWEST ELECTRIC SUPLY,Home,Sale,554.26,
4/16/21,4/18/21,LEICA CAMERA INC,Shopping,Sale,623.1,
8/31/21,9/1/21,PATAGONIA BUILDING SUPPLI,Home,Sale,671.66,
6/26/21,6/27/21,FERGUSON ENT 571,Home,Sale,768.87,
2/23/21,2/25/21,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,910.15,
12/23/21,12/24/21,APPLE.COM/US,Shopping,Sale,970.43,
8/5/21,8/8/21,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,1034.92,
3/24/21,3/26/21,CLIPPERCREEK INC.,Shopping,Sale,2866.71,
10/27/21,10/27/21,APPLE.COM/US,Shopping,Sale,3507.91,
